Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,81.69,0,0,86.9,98.15135,1.823558,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.03632335,0,0.3991572,0,1512.404,81.24645,0.1480608,0,86.72568,98.15135,1.851812,566.686881144592,566.686881143628,0.00104520938001914,47.4782242235433,45.15496,0.00008386414,89.9999,89.9999,1.800429,0.000003369767
0.2,S,0.2,0.08343023,0,0.3791995,0,1480.409,80.58189,0.7418796,0,86.55135,98.15135,1.880065,558.613883388296,558.613883387344,0.00103111934169239,102.278962727486,101.2214,0.0001873339,89.9999,89.9999,9.127494,0.00001694406
0.3,S,0.3,0.1320377,5.2846,0.4558611,0.811872,1520.171,79.91666,2.232816,4.281497,86.37702,98.15135,1.908319,578.941496251922,578.9393,-1.594678,158.88013930228,158.2043,-0.03107504,89.99797,90.01125,22.16853,-0.0002700356
0.3999999,S,0.3999999,0.1827566,3.731525,0.4138727,0.5717573,1582.755,79.23203,3.881046,5.673378,86.2027,98.15135,1.936573,608.96376650337,608.962,-1.466789,217.996228831583,217.5151,-0.1946052,89.92416,90.05125,41.22513,-0.01170703
0.4999998,S,0.4999998,0.2363148,2.672777,0.394228,0.4104889,1629.998,78.51741,6.175633,6.730597,86.02837,98.15135,1.964827,633.209151007114,633.2091,0.2541581,280.328729841159,279.9582,-0.2615641,89.72657,90.05353,66.39362,-0.03600205
0.5999997,S,0.5999997,0.2915921,1.825905,0.3844015,0.2828727,1658.259,77.78677,9.158098,7.000672,85.85404,98.15135,1.993081,649.901516863905,649.8892,4.001168,344.559598250963,344.2492,-0.04792614,89.39371,90.00797,97.91171,-0.05465654
0.6999996,S,0.6999996,0.3482007,1.07873,0.3798218,0.1707907,1678.984,77.0454,12.88614,5.986405,85.67972,98.15135,2.021335,663.55370874482,663.4789,9.963616,410.280973032015,409.9944,0.6619535,88.93713,89.90749,135.9413,-0.02896983
0.7999995,S,0.7999995,0.4059029,0.4114825,0.3788845,0.07037341,1692.457,76.2962,17.43994,3.332761,85.50539,98.15135,2.049589,674.16049594282,673.9244,17.84033,477.212185150372,476.9182,2.078139,88.40023,89.75034,180.613,0.1014576
0.8999994,S,0.8999994,0.4645515,-0.1397649,0.3807561,-0.01360144,1705.961,75.54105,22.91458,-0.839512,85.33106,98.15135,2.077842,684.696895212982,684.1744,26.74376,545.207835929939,544.876,4.349174,87.86111,89.54268,232.0341,0.4154423
