Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,89.15,0,0,91.75,102.4763,1.738457,0,0,0,0,0,0,84,84,0,0
0.01,S,0.01,0.01,0,0.4314968,0,64.9594,89.15,0,0,91.73438,102.4763,1.74099,0,0,0,14.67000008,0,0,84,84,0,0
0.02,S,0.02,0.01264951,0,0.43628,0,520.4763,89.14978,0.01922037,0,91.71874,102.4763,1.743523,155.8705768,154.6290749,19.63379494,14.94653875,1.546291,0.1963379,84,84,0.007731455,0.000981689
0.03,S,0.03,0.01288796,0,0.4364034,0,975.9931,89.13733,0.01995747,0,91.70312,102.4763,1.746056,320.2961149,318.1723996,36.82289145,15.95136839,4.728015,0.5645668,84,84,0.03910299,0.004786213
0.04,S,0.04,0.01375439,0,0.4365744,0,1431.51,89.10445,0.02273997,0,91.68748,102.4763,1.748589,484.8979834,481.8785229,54.02909892,18.43875153,9.546801,1.104858,84,84,0.1104771,0.01313334
0.05,S,0.05,0.0158992,0,0.4356417,0,1586.914,89.05116,0.03031986,0,91.67186,102.4763,1.751122,541.3504584,538.0229548,59.9301166,22.15692467,14.92703,1.704159,84,84,0.2328462,0.02717842
0.05999999,S,0.05999999,0.01910527,0,0.4322649,0,1542.243,88.98149,0.04344124,0,91.65623,102.4763,1.753655,525.6425996,522.4008349,58.28816541,26.33639409,20.15104,2.287041,84,84,0.4082366,0.04713442
0.06999999,S,0.06999999,0.02270912,0,0.4273153,0,1545.97,88.91203,0.06067252,0,91.6406,102.4763,1.756188,527.4207295,524.1692601,58.47403446,30.86267688,25.39273,2.871781,84,84,0.6359554,0.07292853
0.07999999,S,0.07999999,0.02661203,0,0.4216045,0,1557.517,88.84381,0.08220539,0,91.62497,102.4763,1.758721,532.024237,528.7476414,58.95524184,35.63734783,30.68021,3.461334,84,84,0.9163201,0.1045941
0.08999999,S,0.08999999,0.03072912,0,0.4156778,0,1517.374,88.77469,0.1080667,0,91.60934,102.4763,1.761254,517.9055325,514.7059923,57.47940502,40.41673546,35.82727,4.036128,84,84,1.248857,0.1420814
0.09999999,S,0.09999999,0.0348503,0,0.4100407,0,1515.082,88.70644,0.13711,0,91.59372,102.4763,1.763787,517.4864991,514.2892457,57.43560299,45.28014003,40.97016,4.610484,84,84,1.632845,0.1853145
0.11,S,0.11,0.03904393,0,0.4046692,0,1532.575,88.63948,0.1698363,0,91.57809,102.4763,1.76632,524.2392895,521.0051836,58.14147667,50.27033741,46.18021,5.191899,84,84,2.068597,0.2343264
0.12,S,0.12,0.04334691,0,0.4011191,0,1501.035,88.57173,0.2074942,0,91.56246,102.4763,1.768853,513.1942715,510.0204405,56.98693362,55.20088397,51.28041,5.761768,84,84,2.5559,0.2890947
0.13,S,0.13,0.04759848,0,0.3983605,0,1487.352,88.50441,0.2484684,0,91.54683,102.4763,1.771386,508.6198536,505.4709832,56.50876629,60.12082598,56.33512,6.326856,84,84,3.093977,0.3495378
