Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,81.7,0,0,89.12,98.9263,1.589351,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.03411854,0,0.405101,0,1515.082,81.25645,0.129829,0,88.95665,98.9263,1.615827,567.680996957588,567.680996956622,0.00104694444422901,45.244890000078,45.24489,0.00008402111,89.9999,89.9999,1.804501,0.000003376873
0.2,S,0.2,0.08262078,0,0.3817209,0,1483.087,80.59188,0.7172065,0,88.79329,98.9263,1.642303,559.61952049873,559.619520497777,0.00103287450905422,101.411400000174,101.4114,0.0001876655,89.9999,89.9999,9.14555,0.00001697558
0.3,S,0.3,0.1316751,0,0.3744436,0,1522.848,79.92665,1.786137,0,88.62994,98.9263,1.668779,580.102099034608,580.102099033492,0.00113808698913056,158.4982723544,158.498272354126,0.000294920709435293,89.99989,89.99989,22.21083,0.00004100469
0.3999999,S,0.3999999,0.1826725,0,0.3745883,0,1585.43,79.24202,3.436593,0,88.46658,98.9263,1.695255,610.118998814519,610.118998813309,0.00121500732335337,217.925157562011,217.92515756162,0.000412555993349134,89.99989,89.99989,41.30322,0.00007631313
0.4999998,S,0.4999998,0.2364309,0,0.3748986,0,1632.671,78.5274,5.756501,0,88.30322,98.9263,1.72173,634.354875757574,634.354875756288,0.00127754598427628,280.483126893877,280.483126893361,0.000537924558978118,89.99989,89.99989,66.51903,0.0001237906
0.5999997,S,0.5999997,0.2918622,0,0.3761856,0,1660.93,77.79677,8.792282,0,88.13987,98.9263,1.748206,651.031103382065,651.03110338072,0.00132324783637172,344.888336912168,344.88833691152,0.000668310674090556,89.99989,89.99989,98.09591,0.0001840648
0.6999996,S,0.6999996,0.348594,0,0.3779829,0,1681.653,77.0554,12.58517,0,87.97651,98.9263,1.774682,664.657687103948,664.657687102554,0.00136131469249055,410.749331092348,410.749331091564,0.000802757728975895,89.99989,89.99989,136.1958,0.0002575868
0.7999995,S,0.7999995,0.4063984,0,0.3800838,0,1695.122,76.3062,17.17224,0,87.81316,98.9263,1.801158,675.227975044721,675.227975043286,0.00139210468133785,477.797018940899,477.797018939973,0.00094059325128551,89.99989,89.99989,180.9496,0.000344729
0.8999994,S,0.8999994,0.4651385,0,0.3825574,0,1708.623,75.55104,22.59919,0,87.6498,98.9263,1.827634,685.719290803043,685.719290801569,0.00142173085042225,545.897597884931,545.89759788386,0.00108144187542716,89.99989,89.99989,232.4662,0.0004458063
0.9999993,S,0.9999993,0.5248102,0,0.3855118,0,1720.959,74.78993,28.93018,0,87.48644,98.9263,1.85411,695.589899671368,695.589899669858,0.00144934632373328,615.03570256228,615.03570256106,0.00122518584624175,89.99989,89.99989,290.8503,0.0005611146
1.099999,S,1.099999,0.5851967,0,0.3889129,0,1724.559,74.02521,36.20174,0,87.32309,98.9263,1.880586,701.493310714907,701.49331071337,0.00146839749451889,684.921308930816,684.921308929443,0.00137117735945386,89.99989,89.99989,356.1927,0.0006909171
1.199999,S,1.199999,0.6461235,0,0.3927129,0,1728.19,73.25899,44.44566,0,87.15973,98.9263,1.907061,707.121221136848,707.121221135286,0.00148632330201012,755.383600727972,755.383600726445,0.00151901420740255,89.99989,89.99989,428.5556,0.0008354119
1.299999,S,1.299999,0.7075766,0,0.3974508,0,1734.198,72.49121,53.78827,0,86.99638,98.9263,1.933537,713.449684832708,713.44968483112,0.00150518682887633,826.411026812011,826.411026810326,0.00166862149304754,89.99989,89.99989,507.9953,0.0009947782
1.399999,S,1.399999,0.7697388,0,0.396326,0,1744.788,71.71977,63.27217,0,86.83302,98.9263,1.960013,721.946255609809,721.946255608192,0.00152805496711166,898.224313514008,898.224313512163,0.00182040262973657,89.99989,89.99989,594.5792,0.001169211
1.499999,S,1.499999,0.832671,0,0.4043219,0,1752.887,70.94379,75.27377,0,86.66966,98.9263,1.986489,728.399515540046,728.399515538404,0.00154646720269676,970.845514155168,970.84551415316,0.00197436881046938,89.99989,89.99989,688.3901,0.001358933
1.599999,S,1.599999,0.8956523,0,0.4207916,0,1730.903,70.1694,90.30051,0,86.50631,98.9263,2.012965,719.796419339442,719.796419337808,0.00153388416131754,1043.304894782,1043.30489477983,0.00212851586271672,89.99989,89.99989,789.4666,0.001564087
1.699999,S,1.699999,0.9575149,0,0.4535682,0,1686.623,69.40832,110.7979,0,86.34295,100.7662,2.337637,697.982128169345,697.982128167746,0.00149384820365062,1114.26538278366,1114.26538278133,0.00228007608193006,89.99988,89.99988,897.7158,0.001784545
