Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,85.4,0,0,89.4,100.5915,1.813861,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.3839492,0,71.38622,85.4,0,0,89.3857,100.5915,1.81618,0,0,0,14.6700000762939,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.01264951,0,0.3938353,0,526.9031,85.39978,0.01646923,0,89.37138,100.5915,1.818498,166.32826949654,166.328269496179,0.000346451809277169,14.763993843995,1.663283,0.000003464518,89.9999,89.9999,0.008316414,0.00000001732259
0.03,S,0.03,0.01273056,0,0.394011,0,982.4199,85.38733,0.01668838,0,89.35708,100.5915,1.820817,337.996170985798,337.996170985181,0.000646068809618822,15.5126887925394,5.043245,0.000009925207,89.9999,89.9999,0.04184905,0.00000008427121
0.04,S,0.04,0.01337613,0,0.3952226,0,1437.937,85.35445,0.0184805,0,89.34277,100.5915,1.823136,509.843233494832,509.843233493954,0.000945998502282602,17.8343248883361,10.14168,0.00001938519,89.9999,89.9999,0.1177737,0.0000002308232
0.05,S,0.05,0.01537802,0,0.3973179,0,1593.341,85.30116,0.02455547,0,89.32847,100.5915,1.825455,568.795005137241,568.795005136274,0.00104888875465281,21.5820982455775,15.82963,0.00002987408,89.9999,89.9999,0.2476302,0.0000004771196
0.05999999,S,0.05999999,0.01860962,0,0.3974712,0,1548.669,85.23149,0.03597393,0,89.31416,100.5915,1.827774,552.418936830511,552.418936829569,0.00102030712135311,25.9074450051727,21.35382,0.00004007715,89.9999,89.9999,0.4335474,0.0000008268757
0.06999999,S,0.06999999,0.02233925,0,0.3952562,0,1552.397,85.16203,0.051549,0,89.29985,100.5915,1.830093,554.29806598043,554.298065979485,0.00102358682151834,30.6373665425906,26.8968,0.00005031302,89.9999,89.9999,0.6748005,0.000001278827
0.07999999,S,0.07999999,0.02641775,0,0.3916318,0,1563.944,85.09381,0.07142823,0,89.28555,100.5915,1.832412,559.12686676193,559.126866760978,0.00103201467034246,35.6466740881148,32.48807,0.00006063317,89.9999,89.9999,0.9717249,0.000001833557
0.08999999,S,0.08999999,0.03073717,0,0.3873327,0,1523.801,85.02469,0.09563285,0,89.27123,100.5915,1.834731,544.407968572383,544.407968571453,0.00100632534752399,40.6701239252961,37.93215,0.00007069642,89.9999,89.9999,1.323826,0.000002490205
0.09999999,S,0.09999999,0.03506879,0,0.3829626,0,1521.509,84.95644,0.12308,0,89.25693,100.5915,1.837049,543.992472282677,543.992472281747,0.0010056001665512,45.785899522095,43.37208,0.00008075242,89.9999,89.9999,1.730347,0.00000324745
0.11,S,0.11,0.03948005,0,0.3786372,0,1539.002,84.88948,0.1542273,0,89.24262,100.5915,1.839368,551.065370835185,551.065370834245,0.00101794470529295,51.0365931474191,48.88274,0.00009093186,89.9999,89.9999,2.191621,0.000004105871
0.12,S,0.12,0.04400766,0,0.3744074,0,1507.462,84.82173,0.1894855,0,89.22831,100.5915,1.841687,539.554338432004,539.554338431081,0.000997854164436089,56.2258262964472,54.27828,0.0001009104,89.9999,89.9999,2.707426,0.000005065082
0.13,S,0.13,0.04848228,0,0.3704609,0,1493.779,84.75441,0.2275491,0,89.214,100.5915,1.844006,534.799610857268,534.799610856352,0.000989555598143251,61.4044316593824,59.62627,0.000110806,89.9999,89.9999,3.276949,0.000006123664
0.14,S,0.14,0.05294778,0,0.3667549,0,1497.952,84.6883,0.2686757,0,89.1997,100.5915,1.846325,536.812062889448,536.812062888529,0.000993067988732307,66.629446764475,64.99439,0.0001207367,89.9999,89.9999,3.900052,0.000007281378
0.15,S,0.15,0.05745332,0,0.3632406,0,1499.996,84.62221,0.3133079,0,89.18539,100.5915,1.848644,538.016611095219,538.016611094299,0.000995170321125956,71.8873523774984,70.37456,0.0001306884,89.9999,89.9999,4.576897,0.000008538504
0.16,S,0.16,0.06198725,0,0.3599175,0,1497.071,84.55594,0.3613625,0,89.17108,100.5915,1.850963,537.332063100634,537.332063099715,0.000993975559391454,77.155390950885,75.74788,0.0001406282,89.9999,89.9999,5.307509,0.000009895087
0.17,S,0.17,0.06652994,0,0.3567857,0,1494.145,84.48972,0.4126341,0,89.15678,100.5915,1.853281,536.644901354465,536.644901353547,0.000992776235606783,82.4302605292698,81.11433,0.000150556,89.9999,89.9999,6.09182,0.00001135101
0.18,S,0.18,0.07107857,0,0.3485302,0,1491.22,84.42365,0.4600745,0,89.14247,100.5915,1.8556,535.957334580157,535.95733457924,0.000991576209519758,87.7094578236395,86.4739,0.0001604718,89.9999,89.9999,6.929761,0.00001290615
0.19,S,0.19,0.07563096,0,0.3519478,0,1488.296,84.3577,0.5259857,0,89.12816,100.5915,1.857919,535.260859875345,535.260859874429,0.000990360630592492,92.9909771959716,91.82651,0.0001703754,89.9999,89.9999,7.821263,0.00001456038
0.2,S,0.2,0.08018538,0,0.3547866,0,1489.51,84.29188,0.5959905,0,89.11385,100.5915,1.860238,536.14090322551,536.140903224592,0.000991896594189498,98.2888904507278,97.18792,0.0001802944,89.9999,89.9999,8.766335,0.00001631373
0.21,S,0.21,0.08475399,0,0.3571582,0,1493.485,84.22614,0.6702657,0,89.09955,100.5915,1.862557,538.074439273272,538.074439272351,0.000995271254188804,103.612512293712,102.5687,0.0001902471,89.9999,89.9999,9.765118,0.00001816644
0.22,S,0.22,0.08934481,0,0.3591459,0,1497.46,84.16023,0.7489604,0,89.08524,100.5915,1.864876,540.010399089914,540.010399088991,0.000998650139930564,108.9608945933,107.9688,0.0002002336,89.9999,89.9999,10.81781,0.00002011884
0.23,S,0.23,0.09395703,0,0.3608116,0,1501.435,84.09416,0.8320911,0,89.07093,100.5915,1.867195,541.948987808912,541.948987807986,0.00100203361457952,114.33337941311,113.3883,0.0002102539,89.9999,89.9999,11.92459,0.00002217128
0.24,S,0.24,0.09859008,0,0.3622055,0,1505.41,84.02791,0.9196764,0,89.05663,100.5915,1.869514,543.890274737632,543.890274736703,0.00100542179915672,119.72935657543,118.8272,0.0002203081,89.9999,89.9999,13.08567,0.00002432409
0.25,S,0.25,0.1032434,0,0.3633689,0,1509.386,83.96148,1.011735,0,89.04232,100.5915,1.871832,545.834172019416,545.834172018484,0.00100881454029719,125.148316698092,124.2855,0.0002303962,89.9999,89.9999,14.30123,0.00002657761
0.26,S,0.26,0.1079167,0,0.3643357,0,1513.361,83.89487,1.108289,0,89.02801,100.5915,1.874151,547.780790072601,547.780790071666,0.00101221203074657,130.589930645488,129.7633,0.0002405183,89.9999,89.9999,15.57148,0.00002893218
0.27,S,0.27,0.1126095,0,0.3651339,0,1517.337,83.82808,1.209358,0,89.0137,100.5915,1.87647,549.730082954844,549.730082953906,0.00101561418515564,136.053835555814,135.2606,0.0002506744,89.9999,89.9999,16.8966,0.00003138815
0.28,S,0.28,0.1173216,0,0.3657871,0,1521.314,83.76112,1.314968,0,88.9994,100.5915,1.878789,551.682067337855,551.682067336914,0.00101902104289649,141.539722010585,140.7774,0.0002608646,89.9999,89.9999,18.27678,0.00003394584
0.29,S,0.29,0.1220527,5.725572,0.366315,0,1525.29,83.69397,1.42514,0,88.98508,100.5915,1.881108,553.636700000943,553.6367,0.001021905,147.047424072458,146.3138,0.0002710836,89.9999,89.99989,19.73992,0.00003660558
0.3,S,0.3,0.1268027,5.510991,0.4719043,0.9936364,1529.267,83.62665,1.981503,4.491702,88.97078,100.5915,1.883427,555.42671657598,555.4244,-1.604173,152.573378621868,151.868,-0.01577065,89.9994,90.00594,21.2586,-0.00004089225
0.31,S,0.31,0.1315685,5.309512,0.4645065,0.9567531,1533.244,83.55915,2.099686,4.644969,88.95647,100.5915,1.885746,557.387268846723,557.3848,-1.658976,158.120779413351,157.4418,-0.03236041,89.99789,90.01178,22.83302,-0.0002815475
